catalog_version,market,job_type,scope_level,flat_rate_usd,notes
2026-Q2-v1.1,dallas,electrical,standard,139,"45 min – 2 hr (e.g. ceiling fan install, thermostat install, half outlets out)"
2026-Q2-v1.1,dallas,electrical,complex,219,"2–4 hr (e.g. breaker tripping, circuit trace, panel diagnostic)"
2026-Q2-v1.1,dallas,drywall,simple,69,"< 45 min (e.g. small wall crack, nail pops, hairline crack)"
2026-Q2-v1.1,dallas,drywall,standard,129,"45 min – 2 hr (e.g. hole from doorknob or TV mount, tape bubbling, corner bead)"
2026-Q2-v1.1,dallas,drywall,complex,199,"2–4 hr (e.g. large dent, water stain on ceiling, multiple-area repair)"
2026-Q2-v1.1,dallas,appliance,simple,95,"< 45 min (e.g. disposal reset, dishwasher drain reset, ice maker check)"
2026-Q2-v1.1,dallas,appliance,standard,155,"45 min – 2 hr (e.g. dryer slow, washer leak, microwave not spinning)"
2026-Q2-v1.1,dallas,appliance,complex,245,"2–4 hr (e.g. refrigerator cooling, oven not heating, range hood diagnostic)"
2026-Q2-v1.1,dallas,door_window,simple,79,"< 45 min (e.g. hinge squeak, knob wobbly, screen door, latch)"
2026-Q2-v1.1,dallas,door_window,standard,135,"45 min – 2 hr (e.g. deadbolt, new lock install, sliding door, dragging door)"
2026-Q2-v1.1,dallas,door_window,complex,205,"2–4 hr (e.g. frame alignment, multi-door work)"
2026-Q2-v1.1,dallas,handyman,simple,59,"< 45 min (e.g. picture hanging, towel bar, curtain rod, weatherstripping, caulk)"
2026-Q2-v1.1,dallas,handyman,standard,99,"45 min – 2 hr (e.g. blinds install, furniture assembly, cabinet hinge, baby proofing)"
2026-Q2-v1.1,dallas,handyman,complex,159,"2–4 hr (e.g. multi-room punch list, complex assembly)"
2026-Q2-v1.1,denver,plumbing,simple,95,"< 45 min (e.g. faucet drip, toilet running, disposal jam, outdoor hose bib)"
2026-Q2-v1.1,denver,plumbing,standard,165,"45 min – 2 hr (e.g. faucet replace, toilet clog, sink drain, leak under sink)"
2026-Q2-v1.1,denver,plumbing,complex,255,"2–4 hr (e.g. water heater repair, main drain, pipe leak)"
2026-Q2-v1.1,denver,electrical,simple,89,"< 45 min (e.g. outlet replace, switch replace, dimmer, GFCI)"
2026-Q2-v1.1,denver,electrical,standard,155,"45 min – 2 hr (e.g. ceiling fan install, thermostat install, half outlets out)"
2026-Q2-v1.1,denver,electrical,complex,239,"2–4 hr (e.g. breaker tripping, circuit trace, panel diagnostic)"
2026-Q2-v1.1,denver,drywall,simple,75,"< 45 min (e.g. small wall crack, nail pops, hairline crack)"
2026-Q2-v1.1,denver,drywall,standard,135,"45 min – 2 hr (e.g. hole from doorknob or TV mount, tape bubbling, corner bead)"
2026-Q2-v1.1,denver,drywall,complex,215,"2–4 hr (e.g. large dent, water stain on ceiling, multiple-area repair)"
2026-Q2-v1.1,denver,appliance,simple,105,"< 45 min (e.g. disposal reset, dishwasher drain reset, ice maker check)"
2026-Q2-v1.1,denver,appliance,standard,175,"45 min – 2 hr (e.g. dryer slow, washer leak, microwave not spinning)"
2026-Q2-v1.1,denver,appliance,complex,265,"2–4 hr (e.g. refrigerator cooling, oven not heating, range hood diagnostic)"
2026-Q2-v1.1,denver,door_window,simple,85,"< 45 min (e.g. hinge squeak, knob wobbly, screen door, latch)"
2026-Q2-v1.1,denver,door_window,standard,145,"45 min – 2 hr (e.g. deadbolt, new lock install, sliding door, dragging door)"
2026-Q2-v1.1,denver,door_window,complex,225,"2–4 hr (e.g. frame alignment, multi-door work)"
2026-Q2-v1.1,denver,handyman,simple,65,"< 45 min (e.g. picture hanging, towel bar, curtain rod, weatherstripping, caulk)"
2026-Q2-v1.1,denver,handyman,standard,109,"45 min – 2 hr (e.g. blinds install, furniture assembly, cabinet hinge, baby proofing)"
2026-Q2-v1.1,denver,handyman,complex,175,"2–4 hr (e.g. multi-room punch list, complex assembly)"
2026-Q2-v1.1,nashville,plumbing,simple,79,"< 45 min (e.g. faucet drip, toilet running, disposal jam, outdoor hose bib)"
2026-Q2-v1.1,nashville,plumbing,standard,135,"45 min – 2 hr (e.g. faucet replace, toilet clog, sink drain, leak under sink)"
2026-Q2-v1.1,nashville,plumbing,complex,209,"2–4 hr (e.g. water heater repair, main drain, pipe leak)"
2026-Q2-v1.1,nashville,electrical,simple,75,"< 45 min (e.g. outlet replace, switch replace, dimmer, GFCI)"
2026-Q2-v1.1,nashville,electrical,standard,125,"45 min – 2 hr (e.g. ceiling fan install, thermostat install, half outlets out)"
2026-Q2-v1.1,nashville,electrical,complex,199,"2–4 hr (e.g. breaker tripping, circuit trace, panel diagnostic)"
2026-Q2-v1.1,nashville,drywall,simple,59,"< 45 min (e.g. small wall crack, nail pops, hairline crack)"
2026-Q2-v1.1,nashville,drywall,standard,115,"45 min – 2 hr (e.g. hole from doorknob or TV mount, tape bubbling, corner bead)"
2026-Q2-v1.1,nashville,drywall,complex,179,"2–4 hr (e.g. large dent, water stain on ceiling, multiple-area repair)"
2026-Q2-v1.1,nashville,appliance,simple,85,"< 45 min (e.g. disposal reset, dishwasher drain reset, ice maker check)"
2026-Q2-v1.1,nashville,appliance,standard,139,"45 min – 2 hr (e.g. dryer slow, washer leak, microwave not spinning)"
2026-Q2-v1.1,nashville,appliance,complex,219,"2–4 hr (e.g. refrigerator cooling, oven not heating, range hood diagnostic)"
2026-Q2-v1.1,nashville,door_window,simple,69,"< 45 min (e.g. hinge squeak, knob wobbly, screen door, latch)"
2026-Q2-v1.1,nashville,door_window,standard,119,"45 min – 2 hr (e.g. deadbolt, new lock install, sliding door, dragging door)"
2026-Q2-v1.1,nashville,door_window,complex,185,"2–4 hr (e.g. frame alignment, multi-door work)"
2026-Q2-v1.1,nashville,handyman,simple,49,"< 45 min (e.g. picture hanging, towel bar, curtain rod, weatherstripping, caulk)"
2026-Q2-v1.1,nashville,handyman,standard,89,"45 min – 2 hr (e.g. blinds install, furniture assembly, cabinet hinge, baby proofing)"
2026-Q2-v1.1,nashville,handyman,complex,145,"2–4 hr (e.g. multi-room punch list, complex assembly)"
